codec,k,n,trace,assemblies,seed,schedule,gap_ms,arrivals,rank,valid,matrix_ms,encode_ms,root_ms,proof_ms,elimination_ms,backsub_ms,reencode_root_ms,elimination_before_last_ms,tail_ms,completion_ms,array_storage_bound_bytes,process_peak_rss_kib,warmup
rs16,8,10,parity_first,1,100,batch,0,8,8,1,0.003857,0.405992,0.829556,0.316173,0.268043,0.418776,0.664166,0,1.66716,1.66716,2883872,24016,1
rs16,8,10,parity_first,1,100,batch,0.1,8,8,1,0.003857,0.405992,0.829556,0.316173,0.268043,0.418776,0.664166,0,1.39119,2.09119,2883872,24016,1
rs16,8,10,parity_first,1,100,batch,1,8,8,1,0.003857,0.405992,0.829556,0.316173,0.268043,0.418776,0.664166,0,1.39119,8.39119,2883872,24016,1
rs16,8,10,parity_first,1,100,online,0,8,8,1,0.003857,0.405992,0.829556,0.316173,0.268043,0.418776,0.664166,0,1.66716,1.66716,2883872,24016,1
rs16,8,10,parity_first,1,100,online,0.1,8,8,1,0.003857,0.405992,0.829556,0.316173,0.268043,0.418776,0.664166,0.233528,1.15766,1.85766,2883872,24016,1
rs16,8,10,parity_first,1,100,online,1,8,8,1,0.003857,0.405992,0.829556,0.316173,0.268043,0.418776,0.664166,0.233528,1.15766,8.15766,2883872,24016,1
rs16,8,10,parity_first,1,100,online_eager,0,8,8,1,0.003857,0.405992,0.829556,0.28266,0.354977,3e-05,1.38356,0,2.02122,2.02122,2883872,24016,1
rs16,8,10,parity_first,1,100,online_eager,0.1,8,8,1,0.003857,0.405992,0.829556,0.28266,0.354977,3e-05,1.38356,0.308289,1.46714,2.16714,2883872,24016,1
rs16,8,10,parity_first,1,100,online_eager,1,8,8,1,0.003857,0.405992,0.829556,0.28266,0.354977,3e-05,1.38356,0.308289,1.46714,8.46714,2883872,24016,1
rs16,8,10,parity_first,1,101,batch,0,8,8,1,0.008185,0.590308,0.627106,0.625054,0.556977,0.891602,1.34703,0,3.42066,3.42066,2883872,24016,0
rs16,8,10,parity_first,1,101,batch,0.1,8,8,1,0.008185,0.590308,0.627106,0.625054,0.556977,0.891602,1.34703,0,2.87484,3.57484,2883872,24016,0
rs16,8,10,parity_first,1,101,batch,1,8,8,1,0.008185,0.590308,0.627106,0.625054,0.556977,0.891602,1.34703,0,2.87484,9.87484,2883872,24016,0
